Name,Alcohol,Character,Class,Beverage,Red Meat,Pork,Poultry,Mollusc,Fish,Lobster-Shellfish,Grilled,Hard Cheese,Soft Cheese,Green Vegetables,Soft Vegetables,Fungi,Beans,Spicy,Fruits,Dessert,Clusters
Cave Vinicole de Hunawihr 'Calixte 5' Cremant d'Alsace Brut,12.0,2,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Robert Oatley 'Signature Series' Chardonnay 2019/20,13.1,2,Chardonnay,1,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2
Christina Ascheri Gavi di Gavi DOCG 2020,13.0,4,Gavi,1,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2
Castelnau de Suduiraut 2014 Sauternes Half Bottle,13.5,8,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Cave de Hunawihr Kuhlmann-Platz 'Cuvée Prestige' Gewürztraminer 2018/19,14.0,3,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Waimea Estates Gewürztraminer 2020/21,13.5,3,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Definition Sauternes 2014 Half Bottle,13.0,8,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Piper-Heidsieck 'Cuvée Brut' Champagne,12.0,2,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Saint Clair ‘Pioneer Block 5 Bull Block’ Pinot Gris 2020,12.5,3,Pinot Gris,1,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2
Cattier Premier Cru Brut Champagne,12.5,2,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Villa Tucci Bianco,12.0,2,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Famille Brocard 'Bougros' Chablis Grand Cru 2019,14.0,2,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Edouard Delaunay Puligny-Montrachet 2019,14.0,2,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
J. Moreau et Fils ‘Le Sans Bois' Chardonnay 2020,12.0,2,Chardonnay,1,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2
Château La Rame 2017/18 Ste-Croix-du-Mont Half Bottle,15.0,8,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Vouvray Domaine des Aubuisières Cuvée de Perruches 2019/20,13.5,2,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Kuhlmann-Platz Riesling 2020 Cave de Hunawihr,13.0,2,Riesling,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2
Apostoles 30-Year-Old Palo Cortado Sherry Gonzalez Byass Half Bottle,20.0,3,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Noe 30-Year-Old Pedro Ximenez Sherry Gonzalez Byass Half Bottle,15.5,8,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Kendermanns Riesling Kabinett 2020,8.5,2,Riesling,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,3
Framingham 'Classic' Riesling 2020/21,12.5,3,Riesling,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2
Definition Mosel Riesling 2019/20,10.5,5,Riesling,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,3
Dr. Hermann 'Ürziger Würzgarten' Riesling Auslese 2006,8.5,6,Riesling,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,3
Cantina di Monteforte 'Saveroni' Garganega-Pinot Grigio 2020,12.5,2,Pinot Grigio,1,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2
Lapostolle Cuvée Alexandre Chardonnay 2019,14.5,2,Chardonnay,1,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2
Olivier Tricon ‘Léon Valleret’ Chablis 2020,12.5,2,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Guigal Condrieu 2018,14.5,2,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Royal Tokaji 5 Puttonyos 2016 Hungary 50cl,11.5,8,Tokaji,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0
Essensia Orange Muscat 2018/19 Andrew Quady Half Bottle,15.0,7,Muscat,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0
10 year old Malmsey Henriques and Henriques Madeira 50cl,20.0,7,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Dr Loosen ‘Graacher Himmelreich’ Riesling Spätlese 2019/20,9.5,5,Riesling,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,3
Gabriëlskloof 'Elodie' Chenin Blanc 2019/20,13.5,2,Chenin Blanc,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2
Gonzalez Byass Solera Cream Sherry,18.0,6,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Castello di Farnetella Vin Santo 2015,15.0,7,Vin Santo,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0
Majestic Vibrant and Fresh 2020,12.5,2,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Castello Toledana Gavi di Gavi 2019,13.5,2,Gavi,1,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2
Journey’s End ‘Lone Creek’ Sauvignon Blanc 2021,12.5,3,Sauvignon Blanc,1,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2
Domaine la Troupe ‘Cuvée Marie’ Viré Clessé 2020,13.0,2,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Dr Loosen Slate Hill Riesling 2019/20,8.5,3,Riesling,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,3
Villa Maria Private Bin Riesling 2016,12.0,2,Riesling,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2
Dr. Hermann ‘Erdener Treppchen’ Riesling Auslese 2006,9.0,5,Riesling,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,3
Weingut Göettelmann Münsterer Kapellenberg Riesling Trocken 2016,12.5,3,Riesling,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2
Dr Hermann 'Erdener Treppchen' Riesling Beerenauslese 2006 Half Bottle,8.5,8,Riesling,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,3
Cune 'Maruxa' Godello 2020,13.5,2,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Cape Mentelle Chardonnay 2017,13.0,2,Chardonnay,1,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2
Cune Barrel Fermented Rioja Blanco 2019,13.0,2,Rioja,1,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1
Loimer Manhart 2018,12.5,2,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Domaine Passy ‘Le Clou’ Petit Chablis 2020,12.5,2,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Domaine Marcel Couturier Pouilly-Loché 2018,13.0,2,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Veuve Clicquot Demi-Sec Champagne,12.0,5,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
A Sticky End Noble Sauvignon Blanc Half Bottle,11.5,7,Sauvignon Blanc,1,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0
Vin de Constance 2016 Klein Constantia,12.5,7,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Vistamar Late Harvest Moscatel 2017 Half Bottle,12.5,7,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Hermann Erdener TreppchenSpatlese Riesling 2011,8.0,3,Riesling,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,3
Dr. Hermann 'Erdener Treppchen' Riesling Auslese 2005,9.0,5,Riesling,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,3
Hermann Urziger Wurzgarten Riesling Auslese 2005,8.0,5,Riesling,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,3
Domaine des Deux Vallées 'Clos de la Casse' Anjou Blanc 2019,14.5,2,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Doudet-Naudin Chablis Grand Cru 2019,13.0,2,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Carmel 'Selected' Sauvignon Blanc 2019,12.0,2,Sauvignon Blanc,1,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2
Baron Herzog Chardonnay 2019,13.0,2,Chardonnay,1,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2
Edouard Delaunay 'Charmont' Chardonnay 2019,13.5,2,Chardonnay,1,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2
Paul Cluver Sauvignon Blanc 2020,13.5,2,Sauvignon Blanc,1,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2
Greywacke Riesling 2019,11.5,3,Riesling,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,3
Chain Reaction Chardonnay,13.0,2,Chardonnay,1,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2
Hermann Erdener Treppchen Auslese Riesling 2014,8.0,3,Riesling,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,3
Campbell's Rutherglen Muscat Half Bottle,17.5,8,Muscat,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0
Domaine Lucien Lardy Beaujolais-Villages Blanc 2019,13.5,2,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Bodega Matsu 'La Jefa' 2018,13.0,2,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Louis Latour Marsannay Blanc 2017,13.5,2,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
AltoLandon ‘Dulce Enero’ Ice Wine 2020 50cl,13.5,8,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Pieropan ‘Calvarino’ Soave Classico DOC 2019,12.5,2,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
De Bortoli All Rounder Dry Botrytis Semillon 2002,12.5,8,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Three Choirs Stonebrook 2020,11.0,2,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
