Name,Alcohol,Character,Class,Beverage,Clusters
Domaine Marcel Couturier Pouilly-Loché 2018,13.0,2,,1,1
Veuve Clicquot Demi-Sec Champagne,12.0,5,,1,2
A Sticky End Noble Sauvignon Blanc Half Bottle,11.5,7,Sauvignon Blanc,1,2
Vin de Constance 2016 Klein Constantia,12.5,7,,1,2
Vistamar Late Harvest Moscatel 2017 Half Bottle,12.5,7,,1,2
Hermann Erdener TreppchenSpatlese Riesling 2011,8.0,3,Riesling,1,3
Dr. Hermann 'Erdener Treppchen' Riesling Auslese 2005,9.0,5,Riesling,1,3
Hermann Urziger Wurzgarten Riesling Auslese 2005,8.0,5,Riesling,1,3
Domaine des Deux Vallées 'Clos de la Casse' Anjou Blanc 2019,14.5,2,,1,1
Doudet-Naudin Chablis Grand Cru 2019,13.0,2,,1,1
Carmel 'Selected' Sauvignon Blanc 2019,12.0,2,Sauvignon Blanc,1,1
Baron Herzog Chardonnay 2019,13.0,2,Chardonnay,1,1
Edouard Delaunay 'Charmont' Chardonnay 2019,13.5,2,Chardonnay,1,1
Paul Cluver Sauvignon Blanc 2020,13.5,2,Sauvignon Blanc,1,1
Greywacke Riesling 2019,11.5,3,Riesling,1,1
Chain Reaction Chardonnay,13.0,2,Chardonnay,1,1
Hermann Erdener Treppchen Auslese Riesling 2014,8.0,3,Riesling,1,3
Campbell's Rutherglen Muscat Half Bottle,17.5,8,Muscat,1,0
Domaine Lucien Lardy Beaujolais-Villages Blanc 2019,13.5,2,,1,1
Bodega Matsu 'La Jefa' 2018,13.0,2,,1,1
Louis Latour Marsannay Blanc 2017,13.5,2,,1,1
AltoLandon ‘Dulce Enero’ Ice Wine 2020 50cl,13.5,8,,1,2
Pieropan ‘Calvarino’ Soave Classico DOC 2019,12.5,2,,1,1
De Bortoli All Rounder Dry Botrytis Semillon 2002,12.5,8,,1,2
Three Choirs Stonebrook 2020,11.0,2,,1,1
Jimmy Liao's Riesling,11.0,2,Riesling,1,1
Yellow Tail Pink Moscato,7.5,2,,1,3
Big Coq Sweet Muscat,12.0,5,Muscat,1,2
Yellow Tail Moscato,7.5,2,,1,3
Villa Maria Private Bin Gewurztraminer,14.0,2,,1,1
Frontera Smooth & Fruity Red,12.0,5,,1,2
Flagstone Poetry Cabernet Sauvignon,13.5,5,Cabernet Sauvignon,1,2
Stormy Cape Cabernet Sauvignon,13.0,5,Cabernet Sauvignon,1,2
Masalto Cabernet Sauvignon,13.5,5,Cabernet Sauvignon,1,2
Sinfonia Tempranillo,13.5,5,,1,2
Isla Negra Seashore Merlot,12.0,5,,1,2
Hardys Classic Selection Cabernet Merlot,13.0,5,,1,2
Viña Maipo Classic Cabernet Sauvignon Shiraz,12.0,5,Cabernet Sauvignon,1,2
Isla Negra Seashore Cabernet Sauvignon,12.0,5,Cabernet Sauvignon,1,2
Kumala Eternal Pinotage Shiraz,13.5,5,,1,2
Namaqua Shiraz,14.0,5,,1,2
Namaqua Pinotage,13.0,5,,1,2
Namaqua Merlot,13.5,5,,1,2
Santa Rita 120 Cabernet Sauvignon,13.0,5,Cabernet Sauvignon,1,2
Casa de Campo Malbec,13.0,5,Malbec,1,2
Pico Andino Cabernet Sauvignon,12.5,5,Cabernet Sauvignon,1,2
Rioja Castillo de Albai Tempranillo,13.0,5,Rioja,1,2
Wolf Blass Red Label Shiraz Cabernet Sauvignon,14.0,5,Cabernet Sauvignon,1,2
Banrock Station Cabernet Sauvignon,13.5,5,Cabernet Sauvignon,1,2
Blossom Hill Cabernet Sauvignon,13.0,5,Cabernet Sauvignon,1,2
Rioja Paternina Monte Haro 2017,13.5,5,Rioja,1,2
Yellow Tail Medium Sweet Red Roo,12.0,5,,1,2
Lindemans Bin 45 Cabernet Sauvignon,13.5,5,Cabernet Sauvignon,1,2
Porta 6 Red,12.5,5,,1,2
Trapiche Vineyards Malbec,13.0,5,Malbec,1,2
Fleur de Charlotte Merlot,13.5,5,,1,2
Rioja Lagunilla Tempranillo 2017,13.5,5,Rioja,1,2
Lindemans Bin 40 Merlot,14.0,5,,1,2
Yellow Tail Cabernet Sauvignon,13.5,5,Cabernet Sauvignon,1,2
Trapiche Pinot Noir,12.5,5,Pinot Noir,1,2
Kipu Malbec,13.0,5,Malbec,1,2
Rioja Paternina Banda Azul Crianza 2016,13.5,5,Rioja,1,2
Los Cardos Malbec,13.5,5,Malbec,1,2
Verso Rosso Salento,14.0,5,,1,2
Cahors Malbec Chateau Bladinieres,13.5,4,Malbec,1,2
Trapiche Oak Cask Malbec,13.5,5,Malbec,1,2
Squealing Pig Primitivo Puglia,13.5,5,,1,2
Rioja Crianza Ederra ,13.5,5,Rioja,1,2
Wolf Blass Yellow Label Merlot,13.5,5,,1,2
Squealing Pig Mendoza Malbec,13.5,5,Malbec,1,2
Chateau Trois Moulins Cru Bourgeois Haut-Medoc 2014 SILVER MEDAL,14.0,4,,1,2
Porta 6 Red Magnum,13.5,5,,1,2
