name,alcohol,character,class
Roberto Sarotto 'Campo dell'Olio' Gavi di Gavi 2020,13.0,2,Gavi
J. Bouchon 'Block Series' Semillon 2019,13.5,1,
Cave de Hunawihr Kuhlmann-Platz 'Cuvée Prestige' Pinot Gris 2019,13.5,2,Pinot Gris
Definition Pinot Grigio 2020,13.0,1,Pinot Grigio
Denis Marchais Chenin Blanc 2019/20,11.5,1,
Chapel Down Flint Dry 2019/20,12.5,1,
Cloudy Bay Chardonnay 2018/19 Marlborough,13.5,1,Chardonnay
Greywacke Sauvignon Blanc 2020/21,13.5,1,Sauvignon Blanc
Silver Ghost Sauvignon Blanc 2020/21 Central Valley,12.0,1,Sauvignon Blanc
Chablis Premier Cru 2019/20 Domaine L. Chatelain,13.5,1,
Cave des Vignerons de Buxy 'Les Millières' Montagny 1er Cru 2019/20,13.5,1,
Bourgogne Chardonnay 'Les Chenaudières' 2019/20 Cave de Lugny,13.0,1,Chardonnay
Domaine Jomain ‘Les Perrières’ Puligny-Montrachet Premier Cru 2018/19,14.5,1,
Elodie Duprés Chablis 2019/20,13.0,1,
Viré-Clessé Vieilles Vignes 2019/20 Christophe Cordier,13.5,1,
Jean Vincent Pouilly-Fumé 2018/19,13.5,1,
Gewürztraminer 'Les Princes Abbés' 2018/19 Domaines Schlumberger,13.5,2,
Grüner Veltliner Weingärten Weissenkirchen 2020/21,12.5,1,
Araldica Gavi DOCG 2020,12.5,1,Gavi
Fattori Soave 2020,12.5,1,
Pasqua 'PassionSentimento' Passimento Bianco 2019/20,13.0,1,
Villa Vito Pinot Grigio 2019/20,12.0,1,Pinot Grigio
Planeta Chardonnay 2018/19,14.0,1,Chardonnay
Falanghina 2020 Terredora,13.5,1,
Martín Códax 'Caixas' Albariño 2019/20,12.5,1,Albariño
Pouilly-Fumé de Ladoucette 2018/19,13.5,1,
Jean-Pierre Bailly Pouilly-Fumé 'Les Griottes' 2020/21,14.0,1,
Cuvée de Richard Blanc 2019/20,11.5,1,
Domaine Sainte Rose 'La Nuit Blanche' Roussanne 2019,14.5,1,
López de Haro Rioja Blanco 2020,12.5,1,
La Belle Angèle Sauvignon Blanc 2020,12.0,1,Sauvignon Blanc
Petaluma Chardonnay 2019,14.0,1,Chardonnay
Nicolas Courtin Brut Champagne,12.0,1,
Veuve Clicquot Brut Champagne,12.0,1,
Devaux 'Augusta' Brut Champagne,12.0,1,
Veuve Clicquot Champagne Magnum,12.0,1,
Taittinger Comtes de Champagne 2011,12.5,1,
Heidsieck and Co. Monopole 'Bronze Top' Brut Champagne,12.5,1,
Nicolas Feuillatte 2010 Champagne,12.0,1,
Krasno Sauvignon Blanc-Ribolla Gialla 2020,13.0,1,Sauvignon Blanc
Royal Tokaji 'Dry Tokaji' 2018/19,13.0,1,Tokaji
Louis Roederer Quartet,12.5,1,
Waimea Estates Sauvignon Blanc 2020/21,13.5,1,Sauvignon Blanc
Villa Maria 'Private Bin' Sauvignon Blanc 2020/21,13.5,1,Sauvignon Blanc
Oyster Bay Chardonnay 2019/20,13.0,1,Chardonnay
The Ned Noble Sauvignon Blanc 2018/19 Half Bottle,9.5,7,Sauvignon Blanc
The Ned Pinot Grigio 2020/21,14.0,1,Pinot Grigio
Vavasour Sauvignon Blanc 2021,13.5,1,Sauvignon Blanc
Waimea Estates Grüner Veltliner 2018/21,13.0,1,
Pegasus Bay 'Main Divide' Riesling 2016,13.0,4,Riesling
Catena Alta Chardonnay 2019,14.0,1,Chardonnay
Acacia Road Chenin Blanc 2020/21,12.5,1,
Ten Minutes By Tractor Estate Chardonnay 2018,14.0,1,Chardonnay
