name,alcohol,character,class
Pieropan ‘La Rocca’ Soave Classico DOC 2018/19,13.0,1,
Mon Plaisir De La Vallee,12.0,1,
Two Birds One Stone White,11.5,1,
Winemaker Series Chardonnay 2018,13.0,1,Chardonnay
El Molturo Airén-Sauvignon Blanc 2019/20,12.0,1,Sauvignon Blanc
Vinhos do Silvado Branco 2018,12.0,1,
Domaine Begude 'Arcturus' Wild Ferment Chardonnay 2018/19,13.5,1,Chardonnay
Domaine Begude 'Arcturus' Wild Ferment Chardonnay 2018/19,13.5,1,Chardonnay
Majestic Loves Gruner Veltliner 2019,12.5,1,
Canard-Duchêne Brut Champagne,12.0,1,
Bollinger Special Cuvée Champagne Magnum,12.0,1,
Krug 2004/06 Champagne,12.5,1,
Tio Pepe Fino En Rama,15.0,1,
Penfolds Reserve Bin A Chardonnay 2014 Adelaide Hills,13.5,1,Chardonnay
Penfolds Autumn Riesling,12.5,1,Riesling
Villa Maria Private Bin Riesling 2016,12.0,2,Riesling
Majestic Loves Chardonnay 2018,12.5,1,Chardonnay
Borgougne Chardonnay La Chablisienne,12.5,1,Chardonnay
Domaine Dutron Pouilly-Fuisse Les Vignes de Chateau 2016,13.5,1,
Poste Restante Organic Verdejo 2019,12.0,1,Verdejo
Viile Metamorfosis Feteasca Alba & Sauvignon Blanc 2017,13.0,1,Sauvignon Blanc
Pol Roger 'Sir Winston Churchill' Champagne,12.5,1,
Hanna Chardonnay 2018,14.5,1,Chardonnay
Yerring Estate Chardonnay,13.0,1,Chardonnay
Vavasour 'Papa' Sauvignon Blanc 2018,13.0,1,Sauvignon Blanc
Penfolds Bin A Chardonnay 2019,13.0,1,Chardonnay
Lanson Le Green Label Organic Brut,12.5,1,
Eileen Hardy Chardonnay 2016,13.5,1,Chardonnay
Dr. Hermann ‘Erdener Treppchen’ Riesling Auslese 2006,9.0,5,Riesling
Chablis 'Vieilles Vignes' 2019 Domaine Michaut Frères,13.5,1,
Château de Santenay Saint-Aubin 2017,13.0,1,
Cape Mentelle Sauvignon Blanc-Semillon 2018/19,12.5,1,Sauvignon Blanc
Laborie Blanc de Blancs 2014,12.0,1,
Ch de Pizay Beaujolais Blanc 2019,12.5,1,
Escarpment 'Gris' Pinot Gris 2020,12.5,1,Pinot Gris
Weingut Göettelmann Münsterer Kapellenberg Riesling Trocken 2016,12.5,3,Riesling
"""Haut Cuvee"" Pouilly Fuisse Rijckaert - F. Rouve",13.0,none,
Agrillae Orvieto Superiore,13.0,1,
J Vineyards 'J Cuvée 20 Brut',12.5,1,
Domaine des Tourelles Viognier Blend 2019,13.0,1,
Nautilus Chardonnay 2019,13.0,1,Chardonnay
Trapi del Bueno ‘Hand Made’ Chardonnay 2019,12.5,none,Chardonnay
Dr Hermann 'Erdener Treppchen' Riesling Beerenauslese 2006 Half Bottle,8.5,8,Riesling
Sacred Hill 'Wine Thief' Chardonnay 2018,13.5,1,Chardonnay
Edgebaston Chardonnay 2019,14.0,1,Chardonnay
Domaine Berthenet 'Les Bonneveaux' Montagny Premier Cru 2017,13.5,none,
Joseph Drouhin Chassagne-Montrachet 2018,13.0,none,
Domaine Gérard Thomas et Filles Saint Aubin 1er Cru 2018,13.0,none,
Olivier Leflaive 'Sous le Château' 2018,13.5,none,
Olivier Leflaive Montagny 1er Cru 2018,13.0,none,
Domaine des Aubuisieres Vouvray Sec Le Marigny,14.5,1,
Gavi di Gavi Boschetto,12.5,1,Gavi
Cune 'Maruxa' Godello 2020,13.5,2,
Cape Mentelle Chardonnay 2017,13.0,2,Chardonnay
Cune Barrel Fermented Rioja Blanco 2019,13.0,2,
Loimer Manhart 2018,12.5,2,
Doudet-Naudin Bourgogne Côte d’Or Chardonnay 2019,13.0,1,Chardonnay
Domaine Passy ‘Le Clou’ Petit Chablis 2020,12.5,2,
Black Stallion 'Poseidon' Chardonnay 2017,15.0,1,Chardonnay
Domaine Marcel Couturier Pouilly-Loché 2018,13.0,2,
Marisco Pride and Glory Sauvignon Blanc 2017,13.5,1,Sauvignon Blanc
Greywacke Pinot Gris 2018,14.5,1,Pinot Gris
Alain Chavy 'Les Charmes’ Puligny-Montrachet 2017/18,13.0,1,
Pouilly-Fuissé 2019/20 Domaine Cordier,13.5,1,
TUA Pinot Grigio,12.0,1,Pinot Grigio
Planeta 'Cometa' 2018/19,14.0,1,
Domaine de la Metairie D'Alon Chardonnay Le Village 2020,13.5,1,Chardonnay
Rustenberg ‘Five Soldiers’ Chardonnay 2019,14.0,1,Chardonnay
Veuve Clicquot Demi-Sec Champagne,12.0,5,
Louis Roederer 2013/14 Champagne,12.0,1,
La Gioiosa Ca' Divo Spumante,11.0,1,
Big Bombora Chardonnay 2017,12.5,1,Chardonnay
A Sticky End Noble Sauvignon Blanc Half Bottle,11.5,7,Sauvignon Blanc
Goldwater Marlborough Sauvignon Blanc 2020,13.0,1,Sauvignon Blanc
Black Cottage Sauvignon Blanc 2016,13.0,1,Sauvignon Blanc
DeMorgenzon ‘Reserve’ Chenin Blanc 2019,14.0,1,
Vin de Constance 2016 Klein Constantia,12.5,7,
Morande M Chardonnay 2019,13.0,1,Chardonnay
Majestic Loves Sauvignon 2020,12.5,1,
Vistamar Late Harvest Moscatel 2017 Half Bottle,12.5,7,
Dusky Sounds Sauvignon Blanc 2019,12.5,1,Sauvignon Blanc
Chablis 1er Cru Vauligneau 2017,12.5,1,
Domaine Jomain Puligny-Montrachet 2018/19,14.5,1,
Dom St Jean de la Cavalerie Chardonnay 2019,13.5,1,Chardonnay
Vina Vedra Albarino,13.0,1,
Definition Albariño 2017 Magnum,13.0,1,Albariño
Château Montelena Chardonnay 2017/18,14.0,1,Chardonnay
Hilltop Neszmély 'Via Cupola' Pinot Grigio 2018,11.0,1,Pinot Grigio
Castaway Island Sauvignon Blanc 2018,12.5,1,Sauvignon Blanc
Te Mata Estate 'Cape Crest' Sauvignon Blanc 2018,13.5,1,Sauvignon Blanc
Cono Sur Single Vineyard Chardonnay 2018,13.5,1,Chardonnay
Aresti Reserva Gewurtztraminer,13.0,1,
Domaine de la Pinte Crémant du Jura,13.0,1,
Terredora Greco Di Tufo DOCG 2019,12.5,1,
Hermann Erdener TreppchenSpatlese Riesling 2011,8.0,3,Riesling
Bouvet Saphir 2018,12.5,1,
Bouvet Ladubay 'Blanc de Blancs' Crémant de Loire 2019,12.5,1,
Cloudburst Chardonnay 2014,13.0,1,Chardonnay
Domaine Hubert Bouzereau-Gruère et Filles Meursault 2018/19,13.0,1,
Montagny 1er Cru 'Vignes Derrières' 2019 Domaine Pierres Sauvages,13.5,1,
Bourgogne Côte dOr Chardonnay 2018 Edouard Delaunay,12.5,1,Chardonnay
Ramey 'Rochioli Vineyard' Chardonnay 2015,14.5,1,Chardonnay
Anekena Reserva Sauvignon Blanc 2019,12.5,1,Sauvignon Blanc
Tabalí Maray Sauvignon Blanc 2019,13.0,1,Sauvignon Blanc
The Gatekeepers White 2019,13.5,1,
Casillero Del Diablo Chardonnay 2019,13.5,1,Chardonnay
Gál Tibor 'Egri Csillag' Viognier Blend 2019,12.5,1,
Ryder Estate Central Coast Chardonnay 2017,13.5,1,Chardonnay
Louis Roederer 'Cristal' Champagne 2012,12.0,1,
Cultivare Xarel-lo 2017/18,13.0,1,
Peter Lehmann 'Wigan' Riesling 2014,11.0,1,Riesling
Ribolla Gialla Colli Friuli Orientali DOC 2019,12.5,1,
Dr. Hermann 'Erdener Treppchen' Riesling Auslese 2005,9.0,5,Riesling
Hermann Urziger Wurzgarten Riesling Auslese 2005,8.0,5,Riesling
La Giustiniana Terranuova,13.0,1,
J Vineyards Russian River Valley Chardonnay 2018,14.5,1,Chardonnay
Domaine de l'Enclos 'Vau de Vey' Chablis Premier Cru 2018,14.0,none,
Joseph Drouhin Montagny Premier Cru 2018,13.0,none,
Fincher & Co. 'On the Brink' Organic Semillon-Sauvignon Blanc 2019,13.0,1,Sauvignon Blanc
Taittinger Comtes de Champagne 2008,12.0,1,
Olivier Leflaive Puligny-Montrachet 2018,13.0,none,
Balfour Les Sixes 2014,12.0,1,
Saint Clair 'Pioneer Block' Albariño 2020,11.5,1,Albariño
Springfield Estate Albariño 2020,13.0,1,Albariño
Johannes Zillinger 'Hyperflux' Grüner Veltliner 2019,11.0,1,
Domaine des Deux Vallées 'Clos de la Casse' Anjou Blanc 2019,14.5,2,
Doudet-Naudin Chablis Grand Cru 2019,13.0,2,
Carmel 'Selected' Sauvignon Blanc 2019,12.0,2,Sauvignon Blanc
Baron Herzog Chardonnay 2019,13.0,2,Chardonnay
Edouard Delaunay 'Charmont' Chardonnay 2019,13.5,2,Chardonnay
Paul Cluver Sauvignon Blanc 2020,13.5,2,Sauvignon Blanc
Greywacke Riesling 2019,11.5,3,Riesling
Dog Point Chardonnay 2018,14.0,1,Chardonnay
Nord Est Vermentino 2018 Cantina del Vermentino,12.5,1,
Rosalba Bianco,13.0,1,
Ribellata Trebbiano Rubicone,12.0,1,
Vigneto du Lot Soave Classico 2015 Inama,12.5,1,
Alfredini Catarratto Pinot Grigio,12.0,1,Pinot Grigio
"""R"" de Ruinart Champagne",12.0,1,
Lanson Le Vintage 2009,12.5,1,
Majestic Loves Pinot Grigio 2016,12.0,1,Pinot Grigio
Juve Y Camps Reserva Familia Cava,12.0,1,
Devil's Creek Sauvignon Blanc 2020,13.0,1,Sauvignon Blanc
Alamos Uco Valley Viognier 2018,13.0,1,
Zuccardi Chardonnay 2014,13.5,1,Chardonnay
Amontillado Seco Napoleon Hidalgo,17.5,1,
Six Brothers Chardonnay,13.5,1,Chardonnay
Making Tracks Chardonnay 2018,13.5,1,Chardonnay
Selborne Classic Cuvée Brut,12.0,1,
Domaines Vinsmoselle Cuvée Antoinette Crémant de Luxembourg,12.5,1,
Soumah Chardonnay 2018,13.0,1,Chardonnay
Soumah Chardonnay 2018,13.0,1,Chardonnay
Chain Reaction Chardonnay,13.0,2,Chardonnay
Kelly Washington Chardonnay 2017,13.0,1,Chardonnay
Baba Marta Sauvignon Blanc 2018,12.5,1,Sauvignon Blanc
Single Vision Chenin Blanc 2019,13.0,1,
Hokum Chardonnay 2018,13.5,1,Chardonnay
Mr. Glover Sauvignon Blanc 2020,12.5,1,Sauvignon Blanc
Domaine Fouassier 'Sur le Fort' Sancerre 2019,13.5,1,Sancerre
Hermann Erdener Treppchen Auslese Riesling 2014,8.0,3,Riesling
Bruno Paillard 'Premiere Cuvée' Brut Champagne,12.0,1,
Nicolas Courtin Brut 2013,12.0,1,
Puligny-Montrachet 2018/19 Doudet Naudin,13.5,1,
Meursault 'Les Clous' 2018 Domaine Prunier,14.0,1,
Yealands Sauvignon Blanc 2020/21,13.0,1,Sauvignon Blanc
Awatere River Chardonnay 2017,13.5,1,Chardonnay
Constantine Solarris Champagne,12.5,1,
Domaine Félines Jourdan Picpoul de Pinet 2019,13.0,1,
Louis de Cherencey Chablis 2018,12.5,none,
Trizanne 'Sondagskloof' Sauvignon Blanc 2018,13.0,1,Sauvignon Blanc
Domaine Faiveley Puligny Montrachet 1er Cru,13.0,none,
Campbell's Rutherglen Muscat Half Bottle,17.5,8,
Château Paul Mas Blanc 2015 Belluguette,14.0,1,
Domaine Lucien Lardy Beaujolais-Villages Blanc 2019,13.5,2,
Bodega Matsu 'La Jefa' 2018,13.0,2,
Hamilton Russell Vineyards Chardonnay 2019/20,13.5,1,Chardonnay
Louis Latour Marsannay Blanc 2017,13.5,2,
Louis Latour Santenay Blanc 2018,13.5,1,
AltoLandon ‘Dulce Enero’ Ice Wine 2020 50cl,13.5,8,
Pieropan ‘Calvarino’ Soave Classico DOC 2019,12.5,2,
Domaine Jomain Bourgogne Blanc 2019,14.5,1,
Domaine Louis Moreau Petit Chablis 2019/20,12.0,1,
Saint-Aubin Blanc 1er Cru 2019 Domaine Gérard Thomas et Filles,13.5,1,
Antinori Castello della Sala ‘Cervaro della Sala’ 2019,13.0,1,
Domaine du Vaux Chenonceaux 2016,12.5,1,
Domaine de Villargeau 2017 Côteaux du Giennois,13.5,1,
Domaine Begude 'Le Paradis' Viognier 2020,13.5,1,
Les Jamelles Pinot Gris 2018,13.0,1,Pinot Gris
Cuvée des Familles Sauvignon-Viognier 2017 Vin de France,12.0,1,
Nicolas Feuillatte Champagne Magnum,12.0,1,
Louis Roederer 'Brut Premier' Champagne,12.0,1,
Veuve Clicquot 'La Grande Dame' 2008 Champagne,12.5,1,
The King's Thorn Pinot Gris 2017 Marlborough,14.0,1,Pinot Gris
Errazuriz Estate Series Chardonnay 2019 Casablanca Valley,13.5,1,Chardonnay
Noe 30-Year-Old Pedro Ximenez Sherry Gonzalez Byass Half Bottle,15.5,8,
De Bortoli All Rounder Dry Botrytis Semillon 2002,12.5,8,
La Begude 'Amelie' Chardonnay,13.0,1,Chardonnay
Three Choirs Stonebrook 2020,11.0,2,
Chapel Down Chardonnay 2020,11.5,1,Chardonnay
Alain Chavy Puligny-Montrachet 2017/18,13.0,1,
Elodie Duprés Chablis 2018 Magnum,13.0,1,
Gufetto Pinot Grigio 2018,12.0,1,Pinot Grigio
Villa Vito Pinot Grigio 2018 Magnum,12.0,1,Pinot Grigio
Albana Secco Campodora DOCG,13.0,1,
Barone Montalto Vermentino,12.0,1,
Arghé Pinot Grigio 2018,12.5,1,Pinot Grigio
Tyrrell's Vat 1 Sémillon 2014,11.5,1,
Castaway Island Chardonnay 2018,13.0,1,Chardonnay
Miss Lucy Sauvignon Pinot Gris,12.5,1,Pinot Gris
Kutch Sonoma Coast Chardonnay 2018,13.0,1,Chardonnay
Mayacamas Chardonnay 2015,14.5,1,Chardonnay
Clare Wine Co Watervale Riesling 2018,12.5,1,Riesling
Bird in Hand 'Two in the Bush' Chardonnay 2019/20,13.0,1,Chardonnay
Majestic Loves Sauvignon Magnum,12.0,1,
Devil's Creek 'Barrel Select' Sauvignon Blanc 2019,13.5,1,Sauvignon Blanc
Larry Cherubino ‘Folklore’ Chardonnay 2019,12.5,1,Chardonnay
Rutherglen Shelley's Block Marsanne,13.5,1,
Luis Felipe Edwards Elegido Sauvignon Gran Reserva,13.5,1,
De Bortoli Tumbarumba Chardonnay 2018/19,13.0,1,Chardonnay
Stonier Reserve Chardonnay 2016,13.5,1,Chardonnay
"Gavi Brut Metodo Classico ""La Battistina"" 2017",12.0,1,Gavi
Origines de Gascoigne 2019,11.5,1,
Bott Frigyes Furmint 2018,13.0,1,
