beverage,name,alcohol,character,class
1,The Ned 'Waihopai River' Sauvignon Blanc 2020/21,13,1,Sauvignon Blanc
1,La Toledana Gavi di Gavi DOCG 2019/20,13,1,Gavi
1,Saintsbury Chardonnay 2018,13.5,1,Chardonnay
1,Domaine Fouassier 'La Garenne' Sancerre 2019/20,13.5,2,Sancerre
1,Martín Códax Albariño 2020,13,1,Albariño
1,Jackson Estate 'Stich' Sauvignon Blanc 2020/21,13,1,Sauvignon Blanc
1,Bread and Butter Chardonnay 2019/20,13.5,2,Chardonnay
1,Cave de Lugny 'Les Pierres Blanches' Mâcon-Villages Blanc 2019/20,13,1,Mâcon-Villages
1,LB7 Vinho Verde 2019/20,10,1,
1,Alamos Chardonnay 2020/21,13.5,1,Chardonnay
1,Mud House Chilean Sauvignon Blanc 2021,12.5,1,Sauvignon Blanc
1,Santa Rita ‘Medalla Real’ Chardonnay 2020,13.5,1,Chardonnay
1,Emiliana 'Gran Reserva' Organic Viognier 2020/21,14.5,1,
1,Ancient Lakes 'Eight Thousand Lakes' Riesling 2019,11.5,3,Riesling
1,Definition Gavi DOCG 2020,12.5,1,Gavi
1,Pringle Bay Sauvignon Blanc 2021,12.5,2,Sauvignon Blanc
1,Honey Drop Chardonnay 2020/21,13.5,1,Chardonnay
1,Louis Jadot 'Les Roches Blanches' Mâcon-Villages 2020,13,1,Mâcon-Villages
1,Dog Point Sauvignon Blanc 2020/21,13.5,1,Sauvignon Blanc
1,Boekenhoutskloof 'Porcupine Ridge' Sauvignon Blanc-Semillon 2020,12.5,1,Sauvignon Blanc
1,Boekenhoutskloof 'Vintager' Sauvignon Blanc 2021,12.5,2,Sauvignon Blanc
1,Marqués de Riscal Verdejo 2020,13,1,Verdejo
1,Eddystone Point Chardonnay 2018/19,13.5,1,Chardonnay
1,The Guv'nor Blanco,12.5,1,
1,Springfield Estate 'Wild Yeast' Chardonnay 2019/20,14,1,Chardonnay
1,Cantina Beato Bartolomeo Pinot Grigio Superiore 2020/21,12.5,1,Pinot Grigio
1,Domaine L. Chatelain Chablis 2020,13,1,
1,Château Recougne Blanc 2019/20,13.5,1,
1,Pinot Gris Grand Cru Spiegel 2018/19 Domaines Schlumberger,14,4,Pinot Gris
1,Cuvée Sainte Geneviève Blanc VdF,11.5,1,
1,Casa Ferreirinha 'Planalto' White Reserva 2019/20,13,1,
1,Lanson Le Black Label Brut Champagne,12.5,1,
1,Laurent-Perrier 'Grand Siècle' Champagne,12,1,
1,Heidsieck and Co. Monopole 'Gold Top' Champagne 2011,12.5,1,
1,Royal Tokaji 'Gold Label' 6 Puttonyos 2016,11,8,Tokaji
1,Royal Tokaji Late Harvest 2017 50cl,11.5,8,Tokaji
1,Waimea Estates Pinot Gris 2020/21,13,1,Pinot Gris
1,Saint Clair Pioneer Block Chardonnay 2019/20,13,1,Chardonnay
1,Gabb Family Chardonnay 2020/21,13.5,1,Chardonnay
1,Tasca 'Regaleali' Bianco Di Sicilia 2019/20,12,1,
1,Matusalem 30-Year-Old Oloroso Sherry Gonzalez Byass Half Bottle,20.5,5,
1,Domaine Jean-Max Roger ‘Cuvée Genese’ Sancerre 2019/20,13.5,1,Sancerre
