name,alcohol,character,class,beverage
Anthonij Rupert 'Cape of Good Hope' Chenin Blanc 2019,13.5,1,Chenin Blanc,1
Pieropan Soave Classico 2019,12.0,1,,1
Rupert and Rothschild 'Baroness Nadine' Chardonnay 2019,13.5,1,Chardonnay,1
Adega de Pegões ‘Selected Harvest’ White 2019/20,13.0,1,,1
Famille Roux Saint-Aubin Premier Cru 2018,13.0,none,,1
Château La Garde Pessac-Léognan Blanc 2019,13.0,none,,1
Penfolds 'Max's' Chardonnay 2018/19,13.5,1,Chardonnay,1
Balfour Saignée 2018,12.0,1,,1
The Hunting Lodge Seasonal Sauvignon Blanc 2020,13.5,2,Sauvignon Blanc,1
Yealands Estate Single Vineyard Sauvignon Blanc 2020/21,13.0,2,Sauvignon Blanc,1
Lyme Bay Chardonnay 2017/18,13.5,2,Chardonnay,1
La Belle Angele Sauvignon Blanc Boxed Wine 2.25L,11.5,2,Sauvignon Blanc,1
Definition Pouilly-Fuissé 2019,13.0,2,,1
Conde los Andes Rioja Blanco 2016,13.5,1,Rioja,1
Louis Jadot 'Clos du Cromin' Meursault 2018,13.0,1,,1
Ara 'Pathway' Sauvignon Blanc 2021,13.0,2,Sauvignon Blanc,1
Puligny-Montrachet 1er Cru 'La Garenne' 2015 Duc de Magenta,13.5,1,,1
Domaine Faiveley 'La Garenne' 2016 Puligny-Montrachet Premier Cru,13.5,2,,1
Roberto Sarotto 'Campo dell'Olio' Gavi di Gavi 2020,13.0,2,Gavi,1
J. Bouchon 'Block Series' Semillon 2019,13.5,1,,1
Tasca 'Regaleali' Bianco Di Sicilia 2019/20,12.0,1,,1
Russian Jack Sauvignon Blanc 2020/21,13.0,1,Sauvignon Blanc,1
Definition Pinot Grigio 2020,13.0,1,Pinot Grigio,1
Chapel Down Flint Dry 2019/20,12.5,1,,1
Cloudy Bay Chardonnay 2018/19 Marlborough,13.5,1,Chardonnay,1
Greywacke Sauvignon Blanc 2020/21,13.5,1,Sauvignon Blanc,1
Chablis Premier Cru 2019/20 Domaine L. Chatelain,13.5,1,,1
Cave des Vignerons de Buxy 'Les Millières' Montagny 1er Cru 2019/20,13.5,1,,1
Bourgogne Chardonnay 'Les Chenaudières' 2019/20 Cave de Lugny,13.0,1,Chardonnay,1
Elodie Duprés Chablis 2019/20,13.0,1,,1
